"Series";"Time";"Value"
"Probe-1";"2020-05-04T15:29:37+02:00";null
"Probe-1";"2020-05-04T15:29:37+02:00";null
"Probe-1";"2020-05-04T15:29:38+02:00";48.1875
"Probe-1";"2020-05-04T15:29:38+02:00";48.46875
"Probe-1";"2020-05-04T15:29:38+02:00";48.75
"Probe-1";"2020-05-04T15:29:38+02:00";49.03125
"Probe-1";"2020-05-04T15:29:38+02:00";49.3125
"Probe-1";"2020-05-04T15:29:39+02:00";49.59375
"Probe-1";"2020-05-04T15:29:39+02:00";49.875
"Probe-1";"2020-05-04T15:29:39+02:00";50.15625
"Probe-1";"2020-05-04T15:29:39+02:00";50.4375
"Probe-1";"2020-05-04T15:29:39+02:00";50.71875
"Probe-1";"2020-05-04T15:29:40+02:00";51
"Probe-1";"2020-05-04T15:29:40+02:00";50.9875
"Probe-1";"2020-05-04T15:29:40+02:00";50.975
"Probe-1";"2020-05-04T15:29:40+02:00";50.9625
"Probe-1";"2020-05-04T15:29:40+02:00";50.95
"Probe-1";"2020-05-04T15:29:41+02:00";50.9375
"Probe-1";"2020-05-04T15:29:41+02:00";50.925
"Probe-1";"2020-05-04T15:29:41+02:00";50.9125
"Probe-1";"2020-05-04T15:29:41+02:00";50.9
"Probe-1";"2020-05-04T15:29:41+02:00";50.8875
"Probe-1";"2020-05-04T15:29:42+02:00";50.875
"Probe-1";"2020-05-04T15:29:42+02:00";50.86875
"Probe-1";"2020-05-04T15:29:42+02:00";50.8625
"Probe-1";"2020-05-04T15:29:42+02:00";50.85625
"Probe-1";"2020-05-04T15:29:42+02:00";50.85
"Probe-1";"2020-05-04T15:29:43+02:00";50.84375
"Probe-1";"2020-05-04T15:29:43+02:00";50.8375
"Probe-1";"2020-05-04T15:29:43+02:00";50.83125
"Probe-1";"2020-05-04T15:29:43+02:00";50.825
"Probe-1";"2020-05-04T15:29:43+02:00";50.81875
"Probe-1";"2020-05-04T15:29:44+02:00";50.8125
"Probe-1";"2020-05-04T15:29:44+02:00";50.81875
"Probe-1";"2020-05-04T15:29:44+02:00";50.825
"Probe-1";"2020-05-04T15:29:44+02:00";50.83125
"Probe-1";"2020-05-04T15:29:44+02:00";50.8375
"Probe-1";"2020-05-04T15:29:45+02:00";50.84375
"Probe-1";"2020-05-04T15:29:45+02:00";50.85
"Probe-1";"2020-05-04T15:29:45+02:00";50.85625
"Probe-1";"2020-05-04T15:29:45+02:00";50.8625
"Probe-1";"2020-05-04T15:29:45+02:00";50.86875
"Probe-1";"2020-05-04T15:29:46+02:00";50.875
"Probe-1";"2020-05-04T15:29:46+02:00";50.875
"Probe-1";"2020-05-04T15:29:46+02:00";50.875
"Probe-1";"2020-05-04T15:29:46+02:00";50.875
"Probe-1";"2020-05-04T15:29:46+02:00";50.875
"Probe-1";"2020-05-04T15:29:47+02:00";50.875
"Probe-1";"2020-05-04T15:29:47+02:00";50.875
